sens,tone,rms,noise,thd,peak,f,secs,retries,ch2_noise,ch8_tone
12,-49.966,-49.575,-60.218,-44.539,-46.021,1001.0,3.00,0,-91.636,-70.671
13,-49.101,-48.594,-58.168,-44.184,-44.858,1001.0,3.00,0,-91.710,-68.155
14,-48.190,-47.580,-56.406,-44.302,-44.160,1002.0,3.00,0,-91.639,-68.885
15,-47.202,-46.603,-55.505,-43.089,-43.154,1004.3,3.00,0,-91.683,-69.918
16,-45.907,-45.607,-57.367,-45.823,-42.116,1000.7,3.00,0,-91.710,-69.495
17,-44.999,-44.631,-55.536,-44.649,-40.822,1001.3,3.00,0,-91.674,-69.311
18,-43.663,-43.640,-66.413,-55.367,-40.372,1000.0,3.00,0,-91.676,-69.990
19,-42.684,-42.669,-67.223,-53.031,-39.417,1000.0,3.00,0,-91.665,-69.722
20,-41.719,-41.697,-64.780,-52.230,-38.407,999.7,3.00,0,-91.644,-66.082
21,-40.751,-40.728,-63.564,-54.556,-37.374,1000.0,3.00,0,-91.670,-64.046
22,-39.786,-39.773,-65.157,-55.319,-36.496,1000.0,3.00,0,-91.632,-67.769
23,-38.813,-38.809,-69.314,-55.104,-35.497,1000.0,3.00,0,-91.688,-66.678
24,-37.567,-37.552,-62.238,-54.170,-34.319,1000.0,3.00,0,-91.699,-66.440
25,-36.596,-36.557,-56.957,-50.152,-32.454,999.7,3.00,0,-91.654,-68.034
26,-35.585,-35.565,-58.947,-53.504,-32.255,1000.0,3.00,0,-91.684,-67.135
27,-34.604,-34.583,-57.658,-53.802,-31.243,1000.0,3.00,0,-91.704,-66.609
28,-33.623,-33.591,-54.897,-52.749,-30.220,999.3,3.00,0,-91.646,-66.910
29,-32.599,-32.593,-60.872,-55.527,-29.339,1000.0,3.00,0,-91.660,-65.847
30,-31.625,-31.603,-54.523,-54.831,-28.279,999.7,3.00,0,-91.746,-65.554
31,-30.646,-30.611,-51.576,-52.978,-27.177,999.7,3.00,0,-91.674,-65.951
32,-29.642,-29.617,-52.202,-55.776,-26.357,1000.0,3.00,0,-91.694,-63.475
33,-28.659,-28.637,-51.676,-53.637,-25.391,1000.0,3.00,0,-91.643,-64.094
34,-27.651,-27.650,-66.961,-59.277,-24.406,1000.0,3.00,0,-91.671,-61.985
35,-26.741,-26.679,-45.137,-54.126,-23.367,1000.0,3.00,0,-91.708,-62.553
36,-25.728,-25.707,-48.812,-52.835,-22.354,1000.0,3.00,0,-91.692,-58.246
37,-24.761,-24.738,-47.549,-51.515,-21.462,1000.0,3.00,0,-91.682,-61.492
38,-23.829,-23.782,-43.488,-52.650,-20.428,1000.0,3.00,0,-91.698,-56.674
39,-22.839,-22.819,-46.331,-53.942,-19.551,999.7,3.00,0,-91.654,-58.549
40,-21.921,-21.899,-44.844,-54.422,-18.666,1000.0,3.00,0,-91.677,-57.231
41,-20.910,-20.903,-48.537,-56.379,-17.593,1000.0,3.00,0,-91.654,-59.654
42,-19.927,-19.911,-44.171,-54.350,-16.606,1000.0,3.00,0,-91.644,-59.809
43,-18.933,-18.928,-48.174,-57.088,-15.660,1000.0,3.00,0,-91.636,-56.006
44,-17.957,-17.936,-41.067,-54.751,-14.583,1000.0,3.00,0,-91.669,-56.290
45,-16.960,-16.939,-40.059,-55.020,-13.682,1000.0,3.00,0,-91.685,-54.054
46,-15.948,-15.947,-55.240,-59.282,-12.677,1000.0,3.00,0,-91.672,-53.315
47,-14.982,-14.957,-37.236,-55.251,-11.648,1000.0,3.00,0,-91.657,-53.192
48,-14.005,-13.962,-34.059,-54.535,-10.662,1000.0,3.00,0,-91.680,-52.455
49,-13.007,-12.982,-35.468,-54.632,-9.664,1000.3,3.00,0,-91.654,-52.524
50,-12.483,-11.995,-21.738,-43.762,-8.439,1003.7,3.00,0,-91.679,-49.982
51,-11.098,-11.024,-28.737,-49.880,-7.589,1000.7,3.00,0,-91.707,-50.144
52,-10.244,-10.052,-23.695,-47.588,-6.489,1000.0,3.00,0,-91.614,-48.133
53,-9.467,-9.085,-19.829,-45.145,-5.442,1000.0,3.00,0,-91.668,-46.818
54,-8.448,-8.126,-19.586,-45.508,-4.499,1001.0,3.00,0,-91.610,-45.290
55,-7.188,-7.165,-30.005,-53.962,-3.742,1000.0,3.00,0,-91.635,-44.591
