sens,tone,rms,noise,thd,peak,f,secs,retries,ch2_noise,ch8_tone
0,-36.122,-35.604,-45.087,-44.313,-32.317,1001.7,3.00,0,-91.688,-68.203
1,-35.094,-34.603,-44.316,-44.986,-30.566,1001.0,3.00,0,-91.675,-68.206
2,-33.637,-33.611,-55.827,-59.392,-30.516,1000.0,3.00,0,-91.577,-67.530
3,-32.671,-32.629,-52.828,-55.649,-29.489,1000.0,3.00,0,-91.667,-67.310
4,-31.657,-31.635,-54.537,-58.727,-28.553,999.7,3.00,0,-91.714,-67.060
5,-30.958,-30.636,-42.093,-46.678,-27.272,1000.0,2.00,0,-91.653,-66.027
6,-30.157,-29.650,-39.230,-45.350,-26.327,1002.0,3.00,0,-91.677,-63.969
7,-29.166,-28.658,-38.225,-43.996,-24.902,1001.7,3.00,0,-91.638,-64.154
8,-27.929,-27.548,-38.305,-45.974,-24.232,1000.7,3.00,0,-91.709,-65.405
9,-27.021,-26.550,-36.426,-44.615,-22.346,1000.3,3.00,0,-91.629,-63.438
10,-26.066,-25.550,-35.052,-44.405,-22.214,1000.7,3.00,0,-91.687,-62.725
11,-24.968,-24.571,-35.160,-45.454,-21.222,1000.0,3.00,0,-91.663,-62.626
12,-24.003,-23.583,-33.930,-45.767,-20.221,1000.3,3.00,0,-91.687,-60.812
13,-23.014,-22.586,-32.859,-44.274,-18.592,1000.7,3.00,0,-91.596,-59.221
14,-21.876,-21.590,-33.539,-46.512,-18.217,999.3,3.00,0,-91.649,-60.456
15,-20.945,-20.614,-31.957,-45.597,-17.316,999.7,3.00,0,-91.674,-57.968
16,-20.181,-19.608,-28.685,-43.428,-14.948,1000.7,3.00,0,-91.662,-56.328
17,-18.994,-18.641,-29.724,-44.547,-14.126,999.3,3.00,0,-91.645,-57.200
18,-18.171,-17.638,-27.010,-43.339,-13.188,1000.0,3.00,0,-91.588,-53.491
19,-17.323,-16.674,-25.253,-43.250,-12.322,999.7,3.00,0,-91.660,-52.275
20,-15.717,-15.697,-39.246,-57.490,-12.567,1000.0,3.00,0,-91.697,-53.326
21,-14.891,-14.729,-29.086,-47.768,-10.688,1000.0,3.00,0,-91.713,-52.684
22,-13.884,-13.775,-29.825,-49.413,-10.608,999.0,3.00,0,-91.665,-52.520
23,-12.870,-12.811,-31.522,-52.363,-9.717,1001.0,2.00,0,-91.573,-51.550
24,-11.662,-11.554,-27.651,-48.345,-7.651,998.7,3.00,0,-91.675,-48.838
25,-10.640,-10.559,-27.899,-51.811,-7.085,1000.0,3.00,0,-91.661,-48.318
26,-9.606,-9.566,-29.986,-55.681,-6.458,1000.0,3.00,0,-91.694,-47.346
27,-8.600,-8.584,-33.025,-54.162,-5.315,1000.0,3.00,0,-91.630,-45.487
