sens,tone,rms,noise,thd,peak,f,secs,retries,ch2_noise,ch8_tone
0,-47.855,-47.599,-60.028,-47.157,-44.329,1000.3,3.00,0,-91.680,-68.131
1,-46.616,-46.603,-72.115,-54.382,-43.538,1000.0,3.00,0,-91.643,-68.697
2,-45.844,-45.612,-58.439,-48.217,-42.390,999.3,3.00,0,-91.653,-68.592
3,-44.651,-44.628,-67.431,-53.963,-41.537,1000.0,3.00,0,-91.654,-69.174
4,-43.658,-43.636,-66.598,-60.482,-40.532,1000.0,3.00,0,-91.624,-68.754
5,-42.638,-42.638,-94.746,-72.078,-39.583,1000.0,3.00,0,-91.678,-67.641
6,-41.661,-41.648,-66.878,-54.822,-38.587,1000.0,3.00,0,-91.667,-67.753
7,-40.677,-40.657,-64.139,-56.114,-37.539,1000.0,3.00,0,-91.667,-67.691
8,-39.562,-39.543,-63.064,-53.868,-36.475,999.7,3.00,0,-91.693,-67.275
9,-38.558,-38.548,-64.901,-56.291,-35.497,1000.0,3.00,0,-91.644,-66.926
10,-37.564,-37.556,-64.635,-56.751,-34.490,1000.0,3.00,0,-91.621,-65.424
11,-36.614,-36.573,-56.878,-52.536,-33.436,1000.3,3.00,0,-91.688,-65.981
12,-35.587,-35.581,-63.887,-60.751,-32.527,1000.0,3.00,0,-91.665,-64.912
13,-34.781,-34.583,-48.085,-47.964,-31.275,1000.0,3.00,0,-91.645,-66.470
14,-33.619,-33.593,-55.729,-56.521,-30.516,999.7,3.00,0,-91.634,-65.873
15,-32.615,-32.602,-57.632,-54.225,-29.530,1000.0,3.00,0,-91.660,-65.234
16,-31.628,-31.608,-55.025,-56.832,-28.529,1000.0,3.00,0,-91.681,-63.285
17,-30.674,-30.628,-50.348,-57.098,-27.531,999.3,3.00,0,-91.693,-64.911
18,-29.665,-29.640,-52.170,-54.179,-26.565,999.7,3.00,0,-91.657,-61.291
19,-28.714,-28.669,-48.536,-51.112,-25.589,999.7,3.00,0,-91.588,-60.990
20,-27.876,-27.698,-41.664,-48.105,-24.373,999.3,3.00,0,-91.697,-65.039
21,-26.948,-26.729,-39.810,-46.805,-23.386,1000.3,3.00,0,-91.701,-57.729
22,-25.995,-25.774,-38.810,-47.933,-22.316,999.0,3.00,0,-91.664,-62.133
23,-25.127,-24.810,-36.345,-45.709,-21.487,999.3,3.00,0,-91.677,-60.966
24,-23.669,-23.555,-39.395,-50.463,-20.305,1000.0,3.00,0,-91.655,-60.455
25,-22.752,-22.559,-36.184,-49.084,-19.302,999.0,3.00,0,-91.712,-61.909
26,-21.693,-21.566,-36.969,-49.499,-18.287,999.3,3.00,0,-91.652,-61.653
27,-20.867,-20.584,-32.579,-45.924,-17.308,1001.3,3.00,0,-91.657,-58.389
